,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,kupang,20,ID,1535234400,100,-10.16,123.6,69.8,3.36
39,arraial do cabo,40,BR,1535230800,78,-22.97,-42.02,73.4,11.41
40,tasiilaq,88,GL,1535230200,75,65.61,-37.64,41.0,5.82
41,qaanaaq,0,GL,1535235988,90,77.48,-69.36,38.35,4.94
42,bredasdorp,80,ZA,1535234400,81,-34.53,20.04,50.0,14.99
43,nikolskoye,90,RU,1535232600,93,59.7,30.79,60.8,11.18
44,luderitz,0,NA,1535235693,91,-26.65,15.16,51.13,3.71
45,avarua,20,CK,1535234400,74,-21.21,-159.78,80.6,8.05
46,yellowknife,75,CA,1535234400,71,62.45,-114.38,51.8,11.41
47,ngunguru,64,NZ,1535235989,100,-35.62,174.5,56.08,12.1
48,lebu,75,ET,1535230800,93,8.96,38.73,59.0,4.7
49,la paz,20,MX,1535233380,32,24.15,-110.32,95.0,13.87
50,tomatlan,56,MX,1535236051,94,19.93,-105.25,78.85,3.38
51,dikson,88,RU,1535235770,100,73.51,80.55,46.45,13.67
52,teknaf,80,BD,1535236051,100,20.86,92.31,75.7,4.61
53,sao filipe,8,CV,1535235867,93,14.9,-24.5,80.29,5.73
54,souillac,0,FR,1535234400,87,45.6,-0.6,59.0,2.24
55,price,1,US,1535233980,16,39.6,-110.81,84.92,3.6
56,ust-kuyga,8,RU,1535236052,91,70.0,135.55,33.67,2.71
57,ferme-neuve,48,CA,1535236052,63,46.7,-75.45,74.8,6.06
58,orsha,0,BY,1535235920,57,54.51,30.43,64.09,11.21
59,kenai,90,US,1535234160,74,60.55,-151.26,55.94,2.71
60,taseyevo,0,RU,1535236035,89,57.22,94.9,51.67,2.37
61,alice springs,0,AU,1535234400,56,-23.7,133.88,41.0,5.82
62,mar del plata,68,AR,1535235780,49,-46.43,-67.52,61.39,20.04
63,leningradskiy,92,RU,1535236005,100,69.38,178.42,36.64,9.98
64,tuatapere,0,NZ,1535235877,93,-46.13,167.69,50.59,19.71
65,asosa,100,ET,1535236053,98,10.07,34.53,63.37,3.04
66,clyde river,75,CA,1535234400,80,70.47,-68.59,41.0,19.46
67,kolpashevo,32,RU,1535236053,91,58.31,82.9,55.09,8.41
68,chernyshevskiy,88,RU,1535236053,93,63.01,112.47,50.59,2.37
69,busselton,80,AU,1535236054,100,-33.64,115.35,52.75,8.19
70,nanortalik,0,GL,1535235856,96,60.14,-45.24,42.4,6.73
71,biltine,36,TD,1535236054,90,14.53,20.93,71.02,7.74
72,mushie,44,CD,1535236054,93,-3.02,16.92,75.25,2.37
73,atuona,8,PF,1535235831,99,-9.8,-139.03,79.75,21.61
74,fortuna,0,ES,1535234400,61,38.18,-1.13,80.6,10.29
75,san policarpo,68,PH,1535235898,100,12.18,125.51,78.49,4.72
76,mehamn,88,NO,1535235909,95,71.03,27.85,53.02,11.65
77,butaritari,48,KI,1535236055,100,3.07,172.79,84.79,5.5
78,mount isa,0,AU,1535234400,38,-20.73,139.49,59.0,8.05
79,victoria,75,BN,1535234400,88,5.28,115.24,80.6,3.94
80,alanya,0,TR,1535236055,100,36.55,32.0,71.47,2.48
81,malanje,12,AO,1535236055,96,-9.54,16.35,66.07,3.38
82,hambantota,68,LK,1535236056,98,6.12,81.12,80.29,16.46
83,ponta do sol,44,BR,1535236056,54,-20.63,-46.0,75.25,2.71
84,lorengau,0,PG,1535236056,100,-2.02,147.27,80.56,1.36
85,lompoc,75,US,1535235180,72,34.64,-120.46,80.6,10.29
86,port alfred,8,ZA,1535236056,98,-33.59,26.89,61.03,4.16
87,lagoa,0,PT,1535234400,23,37.14,-8.45,86.0,9.17
88,sibolga,36,ID,1535236010,100,1.74,98.78,66.97,2.04
89,bambanglipuro,0,ID,1535236057,97,-7.95,110.28,61.84,2.37
90,bonavista,0,CA,1535236057,60,48.65,-53.11,75.07,19.15
91,champerico,75,MX,1535233260,43,16.38,-93.6,91.4,12.75
92,jaszbereny,0,HU,1535234400,88,47.5,19.92,68.0,9.17
93,hobart,75,AU,1535234400,57,-42.88,147.33,48.2,16.11
94,puerto leguizamo,56,CO,1535236058,87,-0.19,-74.78,78.04,2.93
95,saint george,0,GR,1535233800,78,39.45,22.34,73.4,3.36
96,sinop,24,TR,1535236058,96,42.03,35.15,76.15,9.98
97,polewali,0,ID,1535236059,92,-4.03,119.8,71.29,5.73
98,bambous virieux,75,MU,1535234400,69,-20.34,57.76,73.4,14.99
99,rosario oeste,56,BR,1535236059,56,-14.84,-56.43,78.4,11.21
100,kalengwa,0,ZM,1535236059,55,-13.47,25.0,60.85,5.5
101,ancud,92,CL,1535235838,98,-41.87,-73.83,51.22,7.52
102,vila velha,20,BR,1535234400,78,-3.71,-38.6,80.6,6.93
103,bluff,68,AU,1535235837,96,-23.58,149.07,60.22,5.06
104,wasaga beach,20,CA,1535234400,94,44.51,-80.02,68.0,8.05
105,lodja,8,CD,1535236121,88,-3.52,23.6,73.09,2.93
106,kinablangan,100,PH,1535236122,100,7.69,126.55,80.83,6.62
107,berlevag,12,NO,1535236106,93,70.86,29.09,52.39,12.77
108,westport,92,IE,1535236025,81,53.8,-9.52,53.47,5.95
109,kapaa,90,US,1535234160,79,22.08,-159.32,86.0,25.28
110,marsh harbour,24,BS,1535236106,95,26.54,-77.06,85.69,12.66
111,flinders,90,AU,1535234400,87,-34.58,150.85,51.8,10.29
112,padang,56,ID,1535236122,100,-0.92,100.36,79.12,5.5
113,katsuura,20,JP,1535234400,78,33.93,134.5,78.8,6.93
114,santiago del estero,0,AR,1535236123,22,-27.8,-64.26,67.15,4.5
115,elblag,0,PL,1535234400,93,54.15,19.41,57.2,2.24
116,vranovice,90,CZ,1535234400,76,49.85,13.55,55.4,5.82
117,tupiza,20,BO,1535236123,13,-21.44,-65.72,54.82,6.17
118,buraydah,0,SA,1535230800,33,26.33,43.97,87.8,3.36
119,kozhva,0,RU,1535236124,84,65.11,57.05,40.51,2.71
120,sistranda,75,NO,1535233800,93,63.73,8.83,50.0,9.17
121,cherskiy,88,RU,1535236124,95,68.75,161.3,36.1,6.73
122,sillamae,92,EE,1535236124,100,59.4,27.75,60.04,4.05
123,saint-philippe,75,CA,1535234400,47,45.36,-73.48,82.4,13.87
124,faanui,20,PF,1535236125,100,-16.48,-151.75,79.3,8.97
125,thompson,90,CA,1535234400,93,55.74,-97.86,46.4,5.82
126,sitka,0,US,1535236125,48,37.17,-99.65,93.97,13.11
127,russell,0,AR,1535230800,24,-33.01,-68.8,68.0,2.24
128,pacific grove,40,US,1535234640,75,36.62,-121.92,75.2,8.05
129,harper,1,US,1535234100,25,30.3,-99.24,96.98,5.82
130,bull savanna,36,JM,1535235890,68,17.89,-77.59,82.36,5.61
131,barrow,0,AR,1535236126,37,-38.31,-60.23,50.95,4.38
132,carutapera,12,BR,1535235854,75,-1.2,-46.02,81.37,10.65
133,port elizabeth,1,US,1535234160,64,39.31,-74.98,78.98,8.05
134,sabzevar,0,IR,1535236019,55,36.21,57.68,59.32,2.71
135,husavik,0,CA,1535235900,85,50.56,-96.99,68.14,13.22
136,upernavik,92,GL,1535236127,99,72.79,-56.15,39.52,25.64
137,yulara,0,AU,1535234400,51,-25.24,130.99,37.4,5.82
138,torbay,90,CA,1535234400,68,47.66,-52.73,69.8,16.11
139,umm lajj,0,SA,1535236125,99,25.02,37.27,80.92,6.51
140,namibe,0,AO,1535235862,100,-15.19,12.15,64.81,12.55
141,goderich,92,CA,1535235929,99,43.74,-81.71,67.6,15.79
142,castro,92,CL,1535236115,99,-42.48,-73.76,50.77,7.07
143,mazamari,24,PE,1535236127,91,-11.33,-74.53,72.01,2.37
144,raudeberg,92,NO,1535233800,93,61.99,5.14,46.4,4.7
145,umm kaddadah,8,SD,1535236128,63,13.6,26.69,79.21,7.96
146,venezuela,36,CU,1535236128,86,21.74,-78.8,84.88,11.1
147,new norfolk,75,AU,1535234400,57,-42.78,147.06,48.2,16.11
148,bathsheba,20,BB,1535234400,69,13.22,-59.52,82.4,18.34
149,gwadar,36,PK,1535236128,100,25.12,62.33,76.42,5.95
150,pisz,92,PL,1535236129,96,53.63,21.81,58.24,3.49
151,sioux lookout,75,CA,1535234400,68,50.1,-91.92,77.0,4.7
152,kaili,80,ID,1535236129,93,-3.46,120.21,68.32,1.14
153,iqaluit,75,CA,1535234400,81,63.75,-68.52,44.6,2.93
154,bossier city,1,US,1535235300,37,32.52,-93.73,98.78,6.93
155,sorland,92,NO,1535236130,100,67.67,12.69,52.75,21.16
156,opuwo,0,NA,1535236130,42,-18.06,13.84,61.57,5.61
157,sarangani,32,PH,1535236130,100,5.4,125.46,81.64,1.03
158,ketou,80,BJ,1535236130,92,7.36,2.6,74.17,7.52
159,nagato,20,JP,1535232600,94,34.35,131.14,80.6,9.17
160,aketi,36,CD,1535236192,97,2.74,23.78,70.3,1.92
161,mahebourg,75,MU,1535234400,69,-20.41,57.7,73.4,14.99
162,kresttsy,44,RU,1535236192,55,58.25,32.52,68.95,13.67
163,kavieng,32,PG,1535236192,100,-2.57,150.8,80.47,1.03
164,mount gambier,88,AU,1535236070,94,-37.83,140.78,45.73,3.49
165,mantua,75,IT,1535234100,88,45.16,10.79,64.4,9.17
166,jaguaquara,0,BR,1535236193,68,-13.53,-39.97,72.64,9.08
167,sarkand,32,KZ,1535236193,69,45.41,79.91,54.64,2.59
168,aden,44,YE,1535236098,76,12.79,45.03,85.15,6.17
169,longyearbyen,40,NO,1535233800,69,78.22,15.63,37.4,14.99
170,gao,48,ML,1535236193,63,16.28,-0.04,85.96,11.65
171,luan,0,CH,1535233800,71,46.36,6.98,57.2,11.41
172,brae,92,GB,1535233800,81,60.4,-1.35,51.8,10.29
173,hay river,75,CA,1535234400,47,60.82,-115.79,57.2,12.75
174,paamiut,32,GL,1535236194,91,61.99,-49.67,44.47,18.14
175,nouadhibou,0,MR,1535234400,83,20.93,-17.03,71.6,23.04
176,vardo,1,US,1535235000,47,39.62,-77.74,80.96,10.29
177,carballo,0,ES,1535234400,82,43.21,-8.69,62.6,3.36
178,sitapur,64,IN,1535236195,95,27.56,80.68,77.05,3.49
179,khorixas,0,NA,1535236195,48,-20.37,14.96,51.67,2.59
180,tautira,75,PF,1535234400,65,-17.73,-149.15,82.4,10.29
181,san quintin,90,PH,1535234400,94,17.54,120.52,77.0,6.93
182,klaksvik,88,FO,1535233800,87,62.23,-6.59,46.4,1.12
183,copertino,20,IT,1535234100,94,40.27,18.05,77.0,2.24
184,noumea,88,NC,1535234400,88,-22.28,166.46,64.4,2.24
185,iskateley,0,RU,1535236067,81,67.68,53.15,49.6,14.67
186,college,90,US,1535234280,79,64.86,-147.8,59.0,5.82
187,codrington,92,AU,1535236196,96,-28.95,153.24,50.77,0.69
188,viseu,0,PT,1535234400,82,40.66,-7.91,60.8,8.05
189,kondinskoye,44,RU,1535236197,87,59.65,67.41,58.96,7.63
190,natalio,0,PY,1535236197,55,-26.76,-55.14,55.72,4.05
191,panuco,0,MX,1535236197,33,22.88,-102.54,80.74,9.98
192,baghdad,0,IQ,1535232600,26,33.3,44.38,91.4,10.29
193,carnarvon,0,ZA,1535236197,69,-30.97,22.13,42.04,13.56
194,port hardy,75,CA,1535234400,77,50.7,-127.42,62.6,11.41
195,sainte-marie,75,CA,1535234400,65,46.45,-71.03,78.8,3.36
196,devils lake,75,US,1535234160,56,48.11,-98.87,68.0,4.7
197,manokwari,92,ID,1535236198,100,-0.87,134.08,76.24,3.6
198,shelburne,20,CA,1535234400,94,44.08,-80.2,73.4,8.05
199,kodiak,1,US,1535233980,47,39.95,-94.76,93.92,10.29
200,georgetown,40,GY,1535230800,74,6.8,-58.16,84.2,13.87
201,majene,8,ID,1535236200,100,-3.54,118.97,81.19,13.67
202,vaitape,20,PF,1535236200,97,-16.52,-151.75,80.2,5.73
203,quelimane,0,MZ,1535236118,89,-17.88,36.89,68.32,6.06
204,kaitangata,0,NZ,1535236200,74,-46.28,169.85,49.69,21.61
205,camrose,75,CA,1535234400,42,53.01,-112.84,66.2,6.93
206,norman wells,90,CA,1535234400,93,65.28,-126.83,51.8,2.24
207,saskylakh,0,RU,1535236201,90,71.97,114.09,47.99,5.97
208,sabang,20,PH,1535236201,83,13.72,123.58,83.99,11.68
209,saldanha,0,PT,1535236262,74,41.42,-6.55,57.26,1.39
210,pitimbu,75,BR,1535230800,78,-7.47,-34.81,77.0,11.41
211,la sarre,88,CA,1535236263,68,48.8,-79.2,68.15,9.55
212,laguna,75,MX,1535233320,62,27.52,-110.01,89.6,11.41
213,lazaro cardenas,40,MX,1535233560,35,28.39,-105.62,86.0,4.7
214,ilulissat,92,GL,1535236263,100,69.22,-51.1,40.43,2.51
215,high level,90,CA,1535234400,87,58.52,-117.13,46.4,4.7
216,fuengirola,0,ES,1535234400,73,36.54,-4.62,75.2,0.16
217,salinopolis,0,BR,1535236264,96,-0.61,-47.36,80.57,12.68
218,san patricio,0,PY,1535236264,69,-26.98,-56.83,47.09,3.18
219,hilo,90,US,1535234760,96,19.71,-155.08,75.02,4.7
220,cockburn town,56,TC,1535236191,96,21.46,-71.14,83.8,18.03
221,rocha,24,UY,1535236264,80,-34.48,-54.34,42.68,13.02
222,launceston,56,AU,1535234400,87,-41.43,147.14,42.8,11.41
223,praia da vitoria,20,PT,1535234400,88,38.73,-27.07,71.6,11.21
224,pevek,88,RU,1535236198,100,69.7,170.27,36.46,9.98
225,ossora,68,RU,1535236265,95,59.24,163.07,54.02,11.12
226,jining,48,CN,1535236265,86,35.41,116.58,75.26,5.08
227,panaba,24,MX,1535236265,87,21.28,-88.27,81.2,2.95
228,san juan,90,PH,1535234400,100,14.6,121.03,82.4,6.93
229,manzhouli,88,CN,1535236267,66,49.6,117.43,66.98,4.52
230,develi,0,TR,1535233800,34,38.39,35.49,66.2,3.36
231,severo-kurilsk,68,RU,1535236267,95,50.68,156.12,52.4,4.97
232,piet retief,0,ZA,1535236248,53,-27.01,30.81,61.04,9.1
233,general pico,0,AR,1535236267,34,-35.66,-63.75,46.37,7.54
234,dano,0,BF,1535236267,97,11.14,-3.06,69.77,5.97
235,montepuez,0,MZ,1535236268,82,-13.13,39.0,60.5,4.07
236,ketchikan,90,US,1535234160,64,55.34,-131.65,64.04,12.75
237,zarand,0,IR,1535236268,47,30.81,56.57,53.03,2.17
238,vredendal,92,ZA,1535236268,98,-31.68,18.49,50.42,10.11
239,jacareacanga,8,BR,1535236268,73,-6.22,-57.76,79.85,3.06
240,geraldton,90,CA,1535234400,82,49.72,-86.95,66.2,5.82
241,polunochnoye,12,RU,1535236269,94,60.87,60.43,54.2,7.43
242,narsaq,75,GL,1535233800,81,60.91,-46.05,44.6,6.93
243,sangar,92,RU,1535236146,62,63.92,127.47,52.48,4.16
244,san rafael,0,AR,1535236270,44,-34.61,-68.33,44.21,3.74
245,quang ngai,88,VN,1535236271,76,15.12,108.8,76.97,2.73
246,qiryat shemona,40,IL,1535234400,74,33.21,35.57,80.6,6.93
247,meulaboh,48,ID,1535236271,100,4.14,96.13,78.86,3.74
248,tabou,92,CI,1535236271,98,4.42,-7.36,77.69,19.06
249,ahipara,56,NZ,1535236271,85,-35.17,173.16,57.53,11.68
250,chuy,8,UY,1535236167,73,-33.69,-53.46,48.88,24.74
251,itarema,0,BR,1535236272,78,-2.92,-39.92,78.5,16.71
252,nong kung si,75,TH,1535234400,100,16.65,103.3,73.4,3.36
253,zykovo,0,RU,1535236272,81,55.24,40.35,54.47,3.51
254,bilibino,88,RU,1535235993,87,68.06,166.44,34.75,3.04
255,sena madureira,88,BR,1535236272,91,-9.07,-68.66,73.1,4.18
256,pisco,0,PE,1535234400,30,-13.71,-76.2,71.6,8.05
257,sao joao da barra,0,BR,1535234400,73,-21.64,-41.05,75.2,11.41
258,wadi musa,0,JO,1535236273,86,30.32,35.48,64.28,2.17
259,menongue,0,AO,1535236273,30,-14.66,17.68,68.33,5.08
260,malaya vishera,56,RU,1535236273,56,58.85,32.22,67.97,9.66
261,teguldet,56,RU,1535236274,91,57.31,88.17,54.11,5.53
262,port-gentil,40,GA,1535234400,83,-0.72,8.78,77.0,9.17
263,port lincoln,32,AU,1535236335,96,-34.72,135.86,56.0,5.64
264,bosaso,20,SO,1535236335,78,11.28,49.18,90.02,12.12
265,karratha,0,AU,1535236190,49,-20.74,116.85,47.17,7.96
266,filingue,48,NE,1535236335,96,14.35,3.32,73.55,8.77
267,barinas,40,VE,1535234400,79,8.64,-70.23,91.4,3.51
268,mizdah,24,LY,1535236336,53,31.45,12.98,74.99,9.55
269,srednekolymsk,88,RU,1535236109,80,67.46,153.71,38.71,6.4
270,brainerd,40,US,1535235660,64,46.36,-94.2,77.0,5.82
271,vydrino,0,RU,1535236336,100,51.46,104.64,58.61,2.51
272,dharchula,92,IN,1535236336,100,29.85,80.53,54.74,0.6
273,kharan,0,PK,1535236337,35,28.58,65.42,56.99,2.39
274,abu dhabi,0,AE,1535230800,71,24.47,54.37,93.2,4.7
275,samarai,100,PG,1535236337,100,-10.62,150.67,75.98,11.01
276,mokobeng,0,BW,1535236337,65,-23.0,27.67,59.33,8.21
277,talnakh,100,RU,1535236128,90,69.49,88.39,51.22,2.37
278,clarence town,75,AU,1535234400,87,-32.59,151.78,55.4,8.05
279,jhunjhunun,24,IN,1535236078,68,28.13,75.4,82.27,9.08
280,baturaja,48,ID,1535236260,88,-4.12,104.17,75.44,4.07
281,mimongo,76,GA,1535236338,91,-1.62,11.6,71.03,2.62
282,hirara,40,JP,1535232600,88,24.8,125.28,80.6,11.41
283,libreville,40,GA,1535234400,83,0.39,9.45,77.0,8.05
284,aykhal,24,RU,1535236056,85,65.95,111.51,39.7,2.59
285,ukiah,1,US,1535234160,22,39.15,-123.21,89.96,10.29
286,khatanga,20,RU,1535236338,76,71.98,102.47,52.4,13.47
287,yumen,88,CN,1535236157,43,40.29,97.04,62.65,7.63
288,khuzhir,0,RU,1535236339,90,53.19,107.35,56.54,4.41
289,surgut,0,RU,1535232600,100,61.25,73.4,55.4,4.47
290,cidreira,32,BR,1535236334,75,-30.17,-50.22,50.33,15.82
291,takoradi,92,GH,1535236339,95,4.89,-1.75,75.44,7.76
292,sampit,44,ID,1535236340,90,-2.54,112.95,78.05,6.08
293,kapit,68,MY,1535236340,93,2.02,112.94,74.9,2.73
294,ismailia,0,EG,1535236287,97,30.6,32.27,70.49,2.17
295,requena,75,ES,1535234400,65,39.49,-1.1,78.8,4.7
296,muravlenko,64,RU,1535236340,96,63.79,74.5,55.1,10.22
297,kautokeino,92,NO,1535236341,94,69.01,23.04,46.28,5.41
298,cabo rojo,75,PR,1535233800,74,18.09,-67.15,80.6,5.82
299,pemba,0,MZ,1535236341,96,-12.97,40.52,79.22,10.45
300,carauari,36,BR,1535236341,55,-4.88,-66.9,86.42,5.41
301,havelock,90,US,1535235480,90,34.88,-76.9,86.0,3.74
302,skjervoy,44,NO,1535236342,100,70.03,20.97,51.05,11.23
303,taiobeiras,0,BR,1535236342,60,-15.81,-42.23,68.42,9.55
304,monteagudo,90,BO,1535234400,41,-19.8,-63.96,60.8,2.17
305,sur,20,OM,1535236342,91,22.57,59.53,84.17,4.63
306,maltahohe,0,NA,1535236342,66,-24.83,16.98,31.25,2.73
307,moree,20,AU,1535236179,95,-29.46,149.84,52.66,12.77
308,anyang,0,CN,1535236343,79,36.1,114.34,76.34,8.66
309,zhezkazgan,0,KZ,1535236343,92,47.8,67.71,47.99,5.41
310,daru,92,SL,1535236343,98,7.99,-10.85,69.95,6.64
311,sao gabriel da cachoeira,36,BR,1535236343,98,-0.13,-67.09,72.2,2.06
312,pochutla,75,MX,1535233500,62,15.74,-96.47,87.8,7.43
313,seoul,40,KR,1535234400,88,37.57,126.98,71.6,1.12
314,pinawa,76,CA,1535236344,67,50.15,-95.88,67.52,14.58
315,nago,90,IT,1535234100,100,45.88,10.89,64.4,32.21
316,waddan,0,LY,1535236241,34,29.16,16.14,86.87,12.8
317,eureka,1,US,1535234100,80,40.8,-124.16,64.4,8.05
318,zheleznogorsk,32,RU,1535232600,100,56.25,93.53,48.2,2.39
319,merauke,64,ID,1535236251,84,-8.49,140.4,80.03,10.56
320,dryden,20,CA,1535234400,57,49.79,-92.84,77.0,11.41
321,miramar,75,CR,1535234400,88,10.09,-84.73,69.8,2.24
322,gazanjyk,0,TM,1535236406,35,39.24,55.52,63.83,4.52
323,lamballe,0,FR,1535234400,81,48.47,-2.52,51.8,3.36
324,kieta,0,PG,1535236407,95,-6.22,155.63,81.83,2.17
325,tucuman,8,PE,1535236407,62,-17.17,-70.89,54.74,0.94
326,whitehorse,75,CA,1535234400,66,60.72,-135.06,55.4,9.17
327,fukue,20,JP,1535232600,94,35.03,136.69,80.6,4.7
328,kununurra,0,AU,1535234400,76,-15.77,128.74,53.6,4.7
329,mackay,90,CA,1535234400,59,53.65,-115.58,60.8,4.7
330,seminole,40,US,1535234100,24,32.72,-102.64,95.9,9.17
331,golden,90,CA,1535234700,55,51.3,-116.96,60.8,6.93
332,the pas,90,CA,1535234580,81,53.82,-101.24,51.8,11.41
333,manakara,32,MG,1535236408,98,-22.14,48.01,66.17,8.77
334,susa,12,CO,1535236408,51,5.45,-73.81,57.17,1.95
335,jumla,92,NP,1535236409,92,29.28,82.18,38.81,2.62
336,hamilton,40,BM,1535234100,78,32.3,-64.78,82.4,8.05
337,sibu,75,MY,1535234400,88,2.29,111.83,73.4,4.7
338,nouakchott,0,MR,1535236256,100,18.08,-15.98,80.39,14.14
339,boa vista,40,BR,1535234400,49,2.82,-60.67,91.4,8.05
340,elko,1,US,1535234160,3,40.83,-115.76,87.98,16.11
341,airai,0,TL,1535236410,74,-8.93,125.41,72.38,1.5
342,vila do maio,20,CV,1535234400,78,15.13,-23.22,80.6,4.7
343,lata,100,IN,1535236411,100,30.78,78.62,56.63,1.95
344,beloha,0,MG,1535236411,87,-25.17,45.06,59.78,5.19
345,rio grande,0,BR,1535233500,57,-32.03,-52.1,51.8,11.41
346,toamasina,75,MG,1535234400,94,-18.17,49.38,68.0,4.7
347,anadyr,75,RU,1535230800,87,64.73,177.51,46.4,11.18
348,beringovskiy,92,RU,1535236412,100,63.05,179.32,49.52,9.66
349,szczytno,68,PL,1535236412,98,53.57,20.99,56.45,3.96
350,kahului,75,US,1535234160,71,20.89,-156.47,84.02,20.8
351,okahandja,0,NA,1535236412,51,-21.98,16.91,42.32,2.51
352,baykit,36,RU,1535236201,92,61.68,96.39,48.53,3.06
353,sayan,0,YE,1535236413,79,15.88,43.46,77.15,2.62
354,ilhabela,88,BR,1535236413,100,-23.78,-45.36,65.54,12.46
355,north bend,1,US,1535234160,62,43.41,-124.22,64.94,23.04
356,sorong,76,ID,1535236413,100,-0.86,131.25,78.59,11.23
357,boddam,56,GB,1535233800,87,57.47,-1.78,44.6,2.24
358,ambovombe,0,MG,1535236322,96,-25.18,46.09,63.83,5.97
359,coquimbo,0,CL,1535234400,71,-29.95,-71.34,57.2,9.17
360,shache,92,CN,1535236414,67,38.42,77.24,60.59,1.16
361,albanel,75,CA,1535234400,57,48.88,-72.44,77.0,9.17
362,solnechnyy,44,RU,1535236414,77,50.72,136.64,68.69,4.18
363,haines junction,76,CA,1535236414,40,60.75,-137.51,57.26,2.51
364,hartford,1,US,1535234160,59,41.76,-72.69,78.8,6.93
365,san cristobal,40,EC,1535234400,36,-0.39,-78.55,64.4,11.41
366,salinas,40,US,1535234640,75,36.67,-121.66,75.2,8.05
367,bethel,90,US,1535233980,80,60.79,-161.76,57.02,9.17
368,kruisfontein,0,ZA,1535236335,77,-34.0,24.73,57.89,15.59
369,kalispell,75,US,1535234100,33,48.2,-114.32,69.98,5.82
370,irondequoit,90,US,1535234100,54,43.21,-77.58,80.06,9.17
371,nsanje,0,MZ,1535236416,70,-16.92,35.26,69.86,8.1
372,baijiantan,0,CN,1535236416,55,45.63,85.18,61.31,4.41
373,richards bay,0,ZA,1535236405,67,-28.77,32.06,68.15,9.1
374,altos,0,BR,1535234400,43,-5.04,-42.46,87.8,4.7
375,luis correia,20,BR,1535233500,65,-2.88,-41.67,80.6,12.75
376,pavlovsk,75,RU,1535234400,87,53.31,82.99,55.4,6.71
377,caravelas,0,BR,1535236478,100,-17.73,-39.27,75.89,15.03
378,henties bay,0,NA,1535236478,100,-22.12,14.28,51.32,8.43
379,southbridge,1,US,1535234160,65,42.08,-72.03,78.98,10.29
380,taoudenni,0,ML,1535236182,15,22.68,-3.98,94.15,9.64
381,talbahat,92,IN,1535236478,97,25.05,78.43,74.63,13.24
382,copalau,0,RO,1535234400,77,47.62,26.83,66.2,5.82
383,shimoda,0,JP,1535236479,91,34.7,138.93,81.29,10.67
384,peniche,0,PT,1535234400,88,39.36,-9.38,64.4,8.05
385,coruripe,76,BR,1535236479,95,-10.12,-36.18,77.33,14.47
386,hobyo,8,SO,1535236394,88,5.35,48.53,73.28,19.51
